交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
86,多头进场,2023-02-18 08:00,开多,6.922,1444.669,9999.998818,-236.7,-2.37,1001.93,10.01,-252.04,-2.52,26342.11,263.42
87,空头出场,2023-03-01 12:00,平空-EMA,6.788,1526.251,9999.996552,-370.38,-3.70,417.77,4.18,-418.61,-4.18,25971.74,259.72
87,空头进场,2023-02-25 08:00,开空,6.552,1526.251,9999.996552,-370.38,-3.70,417.77,4.18,-418.61,-4.18,25971.74,259.72
88,空头出场,2023-03-10 04:00,平空-止盈,5.722,1616.292,9999.998604,741.95,7.42,934.07,9.34,-509.28,-5.09,26713.69,267.14
88,空头进场,2023-03-03 08:00,开空,6.187,1616.292,9999.998604,741.95,7.42,934.07,9.34,-509.28,-5.09,26713.69,267.14
89,多头出场,2023-03-15 16:00,平多,6.204,1524.622,9999.995698,-550.97,-5.51,46.84,0.47,-697.18,-6.97,26162.72,261.63
89,多头进场,2023-03-14 20:00,开多,6.559,1524.622,9999.995698,-550.97,-5.51,46.84,0.47,-697.18,-6.97,26162.72,261.63
90,空头出场,2023-03-17 16:00,平空-EMA,6.25,1698.658,9999.999646,-626.92,-6.27,166.56,1.66,-626.71,-6.26,25535.8,255.36
90,空头进场,2023-03-16 00:00,开空,5.887,1698.658,9999.999646,-626.92,-6.27,166.56,1.66,-626.71,-6.26,25535.8,255.36
91,多头出场,2023-03-21 00:00,平多,6.22,1524.855,9999.99909,-525.14,-5.25,231.35,2.31,-593.59,-5.93,25010.65,250.11
91,多头进场,2023-03-18 08:00,开多,6.558,1524.855,9999.99909,-525.14,-5.25,231.35,2.31,-593.59,-5.93,25010.65,250.11
92,空头出场,2023-03-23 20:00,平空-EMA,6.403,1680.672,9999.9984,-771.73,-7.71,65.59,0.66,-830.21,-8.30,24238.93,242.39
92,空头进场,2023-03-23 00:00,开空,5.95,1680.672,9999.9984,-771.73,-7.71,65.59,0.66,-830.21,-8.30,24238.93,242.39
93,空头出场,2023-03-31 20:00,平空-EMA,6.068,1678.979,9999.998924,-198.14,-1.98,743.82,7.43,-295.46,-2.95,24040.79,240.41
93,空头进场,2023-03-24 16:00,开空,5.956,1678.979,9999.998924,-198.14,-1.98,743.82,7.43,-295.46,-2.95,24040.79,240.41
94,空头出场,2023-04-04 16:00,平空-EMA,6.074,1695.489,9999.994122,-308.56,-3.08,95.03,0.95,-318.67,-3.19,23732.23,237.32
94,空头进场,2023-04-03 08:00,开空,5.898,1695.489,9999.994122,-308.56,-3.08,95.03,0.95,-318.67,-3.19,23732.23,237.32
95,多头出场,2023-04-07 12:00,平多,5.967,1589.825,9999.99925,-523.26,-5.23,82.44,0.82,-543.95,-5.44,23208.98,232.09
95,多头进场,2023-04-05 08:00,开多,6.29,1589.825,9999.99925,-523.26,-5.23,82.44,0.82,-543.95,-5.44,23208.98,232.09
96,空头出场,2023-04-11 08:00,平空-EMA,6.066,1690.045,9999.996265,-261.94,-2.62,158.93,1.59,-304.14,-3.04,22947.03,229.47
96,空头进场,2023-04-09 00:00,开空,5.917,1690.045,9999.996265,-261.94,-2.62,158.93,1.59,-304.14,-3.04,22947.03,229.47
97,空头出场,2023-04-13 16:00,平空-EMA,6.056,1732.501,9999.995772,-502.28,-5.02,26.19,0.26,-587.12,-5.87,22444.76,224.45
97,空头进场,2023-04-12 08:00,开空,5.772,1732.501,9999.995772,-502.28,-5.02,26.19,0.26,-587.12,-5.87,22444.76,224.45
98,多头出场,2023-04-19 16:00,平多,5.928,1621.271,9999.999528,-398.91,-3.99,530.02,5.30,-520.56,-5.20,22045.85,220.46
98,多头进场,2023-04-13 20:00,开多,6.168,1621.271,9999.999528,-398.91,-3.99,530.02,5.30,-520.56,-5.20,22045.85,220.46
99,空头出场,2023-04-23 20:00,平空-止盈,5.43,1698.946,9999.996156,765.11,7.65,842.77,8.42,-137.52,-1.37,22810.95,228.11
99,空头进场,2023-04-20 00:00,开空,5.886,1698.946,9999.996156,765.11,7.65,842.77,8.42,-137.52,-1.37,22810.95,228.11
100,多头出场,2023-05-20 16:00,平多,5.27,1848.428,9999.99548,-268.65,-2.69,6.09,0.06,-372.84,-3.73,22542.3,225.42
100,多头进场,2023-05-18 08:00,开多,5.41,1848.428,9999.99548,-268.65,-2.69,6.09,0.06,-372.84,-3.73,22542.3,225.42
101,空头出场,2023-05-29 12:00,平空-EMA,5.158,1931.993,9999.995768,24.79,0.25,591.99,5.92,-244.57,-2.44,22567.1,225.67
101,空头进场,2023-05-21 20:00,开空,5.176,1931.993,9999.995768,24.79,0.25,591.99,5.92,-244.57,-2.44,22567.1,225.67
102,空头出场,2023-06-04 12:00,平空-EMA,5.115,1980.982,9999.997136,-142.79,-1.43,199.04,1.99,-139.71,-1.40,22424.31,224.24
102,空头进场,2023-05-31 16:00,开空,5.048,1980.982,9999.997136,-142.79,-1.43,199.04,1.99,-139.71,-1.40,22424.31,224.24
103,空头出场,2023-06-05 20:00,平空-止盈,4.776,1996.406,9999.997654,455.4,4.55,460.16,4.60,-118.8,-1.19,22879.7,228.80
103,空头进场,2023-06-04 20:00,开空,5.009,1996.406,9999.997654,455.4,4.55,460.16,4.60,-118.8,-1.19,22879.7,228.80
104,空头出场,2023-06-21 00:00,平空-EMA,4.592,2242.152,9999.99792,-306.11,-3.06,288.72,2.89,-363.74,-3.64,22573.59,225.74
104,空头进场,2023-06-19 08:00,开空,4.46,2242.152,9999.99792,-306.11,-3.06,288.72,2.89,-363.74,-3.64,22573.59,225.74
105,多头出场,2023-06-29 00:00,平多,4.811,2107.481,9999.997345,129.02,1.29,1691.52,16.91,-146.2,-1.46,22702.61,227.03
105,多头进场,2023-06-22 00:00,开多,4.745,2107.481,9999.997345,129.02,1.29,1691.52,16.91,-146.2,-1.46,22702.61,227.03
106,多头出场,2023-07-10 08:00,平多,5.127,1929.012,9999.998208,-119.9,-1.20,1146.62,11.46,-745.74,-7.45,22582.71,225.83
106,多头进场,2023-06-30 08:00,开多,5.184,1929.012,9999.998208,-119.9,-1.20,1146.62,11.46,-745.74,-7.45,22582.71,225.83
107,多头出场,2023-07-25 12:00,平多,5.712,1813.565,9999.99741,348.91,3.49,1576.43,15.76,-35.83,-0.36,22931.62,229.32
107,多头进场,2023-07-13 20:00,开多,5.514,1813.565,9999.99741,348.91,3.49,1576.43,15.76,-35.83,-0.36,22931.62,229.32
108,多头出场,2023-08-05 08:00,平多,6.028,1686.909,9999.996552,158.61,1.59,1288.86,12.88,-220.92,-2.21,23090.23,230.90
108,多头进场,2023-07-27 12:00,开多,5.928,1686.909,9999.996552,158.61,1.59,1288.86,12.88,-220.92,-2.21,23090.23,230.90
109,空头出场,2023-08-09 00:00,平空-EMA,6.081,1714.677,9999.996264,-437.17,-4.37,164.75,1.65,-546.84,-5.47,22653.06,226.53
109,空头进场,2023-08-07 20:00,开空,5.832,1714.677,9999.996264,-437.17,-4.37,164.75,1.65,-546.84,-5.47,22653.06,226.53
110,多头出场,2023-08-16 00:00,平多,5.973,1600.256,9999.999744,-451.45,-4.51,188.63,1.89,-504.28,-5.04,22201.61,222.02
110,多头进场,2023-08-10 04:00,开多,6.249,1600.256,9999.999744,-451.45,-4.51,188.63,1.89,-504.28,-5.04,22201.61,222.02
111,空头出场,2023-08-17 00:00,平空-止盈,5.518,1701.548,9999.997596,601.16,6.01,636.48,6.36,-22.02,-0.22,22802.77,228.03
111,空头进场,2023-08-16 08:00,开空,5.877,1701.548,9999.997596,601.16,6.01,636.48,6.36,-22.02,-0.22,22802.77,228.03
112,空头出场,2023-09-27 16:00,平空-EMA,4.402,2318.571,9999.996723,-216.46,-2.16,261.64,2.62,-241.49,-2.41,22586.31,225.86
112,空头进场,2023-09-21 12:00,开空,4.313,2318.571,9999.996723,-216.46,-2.16,261.64,2.62,-241.49,-2.41,22586.31,225.86
113,空头出场,2023-09-28 20:00,平空-EMA,4.411,2367.984,9999.996432,-455.4,-4.55,32.89,0.33,-466.76,-4.67,22130.91,221.31
113,空头进场,2023-09-28 00:00,开空,4.223,2367.984,9999.996432,-455.4,-4.55,32.89,0.33,-466.76,-4.67,22130.91,221.31
114,多头出场,2023-09-30 00:00,平多,4.327,2224.199,9999.998704,-385.7,-3.86,3.9,0.04,-389.79,-3.90,21745.21,217.45
114,多头进场,2023-09-29 12:00,开多,4.496,2224.199,9999.998704,-385.7,-3.86,3.9,0.04,-389.79,-3.90,21745.21,217.45
115,多头出场,2023-10-03 20:00,平多,4.392,2239.641,9999.997065,-173.41,-1.73,494.44,4.94,-184.17,-1.84,21571.8,215.72
115,多头进场,2023-10-01 00:00,开多,4.465,2239.641,9999.997065,-173.41,-1.73,494.44,4.94,-184.17,-1.84,21571.8,215.72
116,空头出场,2023-10-06 20:00,平空-EMA,4.39,2334.812,9999.999796,-259.95,-2.60,65.04,0.65,-310.86,-3.11,21311.85,213.12
116,空头进场,2023-10-05 08:00,开空,4.283,2334.812,9999.999796,-259.95,-2.60,65.04,0.65,-310.86,-3.11,21311.85,213.12
117,空头出场,2023-10-13 20:00,平空-止盈,3.987,2329.373,9999.998289,703.14,7.03,747.39,7.47,-200.67,-2.01,22014.99,220.15
117,空头进场,2023-10-08 16:00,开空,4.293,2329.373,9999.998289,703.14,7.03,747.39,7.47,-200.67,-2.01,22014.99,220.15
118,多头出场,2023-10-26 20:00,平多,4.045,2326.122,9999.998478,-600.54,-6.00,462.55,4.62,-681.9,-6.82,21414.45,214.14
118,多头进场,2023-10-23 08:00,开多,4.299,2326.122,9999.998478,-600.54,-6.00,462.55,4.62,-681.9,-6.82,21414.45,214.14
119,多头出场,2023-11-17 20:00,平多,4.871,2119.093,9999.999867,311.94,3.12,1921.26,19.20,-541.13,-5.41,21726.39,217.26
119,多头进场,2023-11-02 00:00,开多,4.719,2119.093,9999.999867,311.94,3.12,1921.26,19.20,-541.13,-5.41,21726.39,217.26
120,多头出场,2023-11-22 00:00,平多,4.963,1910.584,9999.996656,-527.51,-5.27,233.82,2.34,-753.95,-7.54,21198.88,211.99
120,多头进场,2023-11-20 04:00,开多,5.234,1910.584,9999.996656,-527.51,-5.27,233.82,2.34,-753.95,-7.54,21198.88,211.99
121,多头出场,2023-12-12 00:00,平多,6.039,1890.716,9999.996924,1407.33,14.07,3475.81,34.74,-163.82,-1.64,22606.21,226.06
121,多头进场,2023-11-22 08:00,开多,5.289,1890.716,9999.996924,1407.33,14.07,3475.81,34.74,-163.82,-1.64,22606.21,226.06
122,多头出场,2023-12-16 00:00,平多,6.114,1547.508,9999.996696,-548.26,-5.48,12.02,0.12,-596.15,-5.96,22057.95,220.58
122,多头进场,2023-12-14 16:00,开多,6.462,1547.508,9999.996696,-548.26,-5.48,12.02,0.12,-596.15,-5.96,22057.95,220.58
123,空头出场,2023-12-22 04:00,平空-EMA,6.182,1699.813,9999.999879,-518.5,-5.18,487.95,4.88,-560.84,-5.61,21539.45,215.39
123,空头进场,2023-12-18 12:00,开空,5.883,1699.813,9999.999879,-518.5,-5.18,487.95,4.88,-560.84,-5.61,21539.45,215.39
124,多头出场,2024-01-03 20:00,平多,6.599,1584.786,9999.99966,447.77,4.48,3085.33,30.84,-688.04,-6.88,21987.22,219.87
124,多头进场,2023-12-22 16:00,开多,6.31,1584.786,9999.99966,447.77,4.48,3085.33,30.84,-688.04,-6.88,21987.22,219.87
125,空头出场,2024-01-11 04:00,平空-EMA,6.568,1573.316,9999.996496,-343.71,-3.44,1090.03,10.89,-632.75,-6.32,21643.51,216.44
125,空头进场,2024-01-04 00:00,开空,6.356,1573.316,9999.996496,-343.71,-3.44,1090.03,10.89,-632.75,-6.32,21643.51,216.44
126,空头出场,2024-01-30 20:00,平空-EMA,6.248,1593.371,9999.996396,34.64,0.35,1175.69,11.75,-557.9,-5.58,21678.15,216.78
126,空头进场,2024-01-19 00:00,开空,6.276,1593.371,9999.996396,34.64,0.35,1175.69,11.75,-557.9,-5.58,21678.15,216.78
127,空头出场,2024-02-02 16:00,平空-EMA,6.202,1658.374,9999.99522,-295.38,-2.95,238.78,2.39,-301.85,-3.02,21382.77,213.83
127,空头进场,2024-01-31 16:00,开空,6.03,1658.374,9999.99522,-295.38,-2.95,238.78,2.39,-301.85,-3.02,21382.77,213.83
128,空头出场,2024-02-06 08:00,平空-EMA,6.153,1665.001,9999.996006,-254.88,-2.55,149.85,1.50,-309.7,-3.10,21127.89,211.28
128,空头进场,2024-02-05 00:00,开空,6.006,1665.001,9999.996006,-254.88,-2.55,149.85,1.50,-309.7,-3.10,21127.89,211.28
129,多头出场,2024-03-16 16:00,平多,12.711,1580.028,9999.997212,10068.7,100.64,16934.48,169.26,-175.64,-1.76,31196.59,311.97
129,多头进场,2024-02-07 00:00,开多,6.329,1580.028,9999.997212,10068.7,100.64,16934.48,169.26,-175.64,-1.76,31196.59,311.97
130,空头出场,2024-03-25 20:00,平空-EMA,12.562,860.215,9999.999375,-816.42,-8.16,1134.78,11.34,-1187.8,-11.87,30380.16,303.80
130,空头进场,2024-03-17 12:00,开空,11.625,860.215,9999.999375,-816.42,-8.16,1134.78,11.34,-1187.8,-11.87,30380.16,303.80
131,多头出场,2024-03-28 00:00,平多,12.205,785.545,9999.98785,-422.2,-4.22,113.62,1.14,-504.61,-5.04,29957.96,299.58
131,多头进场,2024-03-26 12:00,开多,12.73,785.545,9999.98785,-422.2,-4.22,113.62,1.14,-504.61,-5.04,29957.96,299.58
132,多头出场,2024-04-01 20:00,平多,12.294,777.242,9999.995572,-454.36,-4.54,365.74,3.66,-577.83,-5.78,29503.6,295.04
132,多头进场,2024-03-29 00:00,开多,12.866,777.242,9999.995572,-454.36,-4.54,365.74,3.66,-577.83,-5.78,29503.6,295.04
133,空头出场,2024-04-11 08:00,平空-止盈,9.494,854.92,9999.99924,1874.33,18.73,2300.72,23.00,-101.61,-1.02,31377.93,313.78
133,空头进场,2024-04-02 08:00,开空,11.697,854.92,9999.99924,1874.33,18.73,2300.72,23.00,-101.61,-1.02,31377.93,313.78
134,多头出场,2024-06-03 00:00,平多,9.449,1299.207,9999.996279,2265.07,22.64,5325.65,53.23,-157.01,-1.57,33643,336.43
134,多头进场,2024-05-18 16:00,开多,7.697,1299.207,9999.996279,2265.07,22.64,5325.65,53.23,-157.01,-1.57,33643,336.43
135,多头出场,2024-06-08 00:00,平多,9.784,963.391,9999.99858,-583.89,-5.84,1524.86,15.24,-1189.97,-11.89,33059.11,330.59
135,多头进场,2024-06-04 20:00,开多,10.38,963.391,9999.99858,-583.89,-5.84,1524.86,15.24,-1189.97,-11.89,33059.11,330.59
136,多头出场,2024-06-11 08:00,平多,9.827,938.438,9999.995328,-787.58,-7.87,20.34,0.20,-824.26,-8.24,32271.53,322.72
136,多头进场,2024-06-10 20:00,开多,10.656,938.438,9999.995328,-787.58,-7.87,20.34,0.20,-824.26,-8.24,32271.53,322.72
137,空头出场,2024-06-12 20:00,平空-EMA,10.238,1077.586,9999.99808,-1042.84,-10.42,576.9,5.77,-1135.39,-11.35,31228.69,312.29
137,空头进场,2024-06-11 16:00,开空,9.28,1077.586,9999.99808,-1042.84,-10.42,576.9,5.77,-1135.39,-11.35,31228.69,312.29
138,多头出场,2024-06-18 08:00,平多,10.034,958.129,9999.992373,-395.93,-3.96,1517.47,15.17,-662.28,-6.62,30832.75,308.33
138,多头进场,2024-06-14 08:00,开多,10.437,958.129,9999.992373,-395.93,-3.96,1517.47,15.17,-662.28,-6.62,30832.75,308.33
139,空头出场,2024-06-19 08:00,平空-EMA,10.446,1049.207,9999.991917,-970.5,-9.70,302.42,3.02,-997.55,-9.97,29862.25,298.62
139,空头进场,2024-06-18 20:00,开空,9.531,1049.207,9999.991917,-970.5,-9.70,302.42,3.02,-997.55,-9.97,29862.25,298.62
140,空头出场,2024-07-04 12:00,平空-止盈,8.081,1047.559,9999.998214,1525.44,15.25,1614.53,16.14,-118.14,-1.18,31387.69,313.88
140,空头进场,2024-06-24 08:00,开空,9.546,1047.559,9999.998214,1525.44,15.25,1614.53,16.14,-118.14,-1.18,31387.69,313.88
