交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
108,空头出场,2023-04-04 16:00,平空-EMA,0.95,10952.902,9999.999526,-415.46,-4.15,345.49,3.45,-454.07,-4.54,19609.1,196.09
108,空头进场,2023-03-31 12:00,开空,0.913,10952.902,9999.999526,-415.46,-4.15,345.49,3.45,-454.07,-4.54,19609.1,196.09
109,多头出场,2023-04-19 16:00,平多,0.98,10050.251,9999.999745,-160.68,-1.61,1180.93,11.80,-437.16,-4.37,19448.42,194.48
109,多头进场,2023-04-04 20:00,开多,0.995,10050.251,9999.999745,-160.68,-1.61,1180.93,11.80,-437.16,-4.37,19448.42,194.48
110,空头出场,2023-05-04 00:00,平空-EMA,0.959,10193.679,9999.999099,214.37,2.14,1075.53,10.75,-25.39,-0.25,19662.79,196.63
110,空头进场,2023-04-19 20:00,开空,0.981,10193.679,9999.999099,214.37,2.14,1075.53,10.75,-25.39,-0.25,19662.79,196.63
111,空头出场,2023-05-10 12:00,平空-止盈,0.83,11086.474,9999.999548,788.63,7.88,1103.65,11.03,-160.21,-1.60,20451.42,204.51
111,空头进场,2023-05-06 20:00,开空,0.902,11086.474,9999.999548,788.63,7.88,1103.65,11.03,-160.21,-1.60,20451.42,204.51
112,多头出场,2023-05-24 12:00,平多,0.848,11454.753,9999.999369,-296.23,-2.96,109.55,1.09,-291.37,-2.91,20155.19,201.55
112,多头进场,2023-05-23 08:00,开多,0.873,11454.753,9999.999369,-296.23,-2.96,109.55,1.09,-291.37,-2.91,20155.19,201.55
113,空头出场,2023-05-26 20:00,平空-EMA,0.857,12195.121,9999.99922,-461.45,-4.61,55.98,0.56,-626.95,-6.27,19693.74,196.94
113,空头进场,2023-05-24 20:00,开空,0.82,12195.121,9999.99922,-461.45,-4.61,55.98,0.56,-626.95,-6.27,19693.74,196.94
114,空头出场,2023-06-02 16:00,平空-EMA,0.847,12150.668,9999.999764,-301.76,-3.02,238.01,2.38,-345.22,-3.45,19391.98,193.92
114,空头进场,2023-05-31 12:00,开空,0.823,12150.668,9999.999764,-301.76,-3.02,238.01,2.38,-345.22,-3.45,19391.98,193.92
115,空头出场,2023-06-06 16:00,平空-止盈,0.772,12437.81,9999.99924,388.21,3.88,455.2,4.55,-5,-0.05,19780.19,197.80
115,空头进场,2023-06-05 20:00,开空,0.804,12437.81,9999.99924,388.21,3.88,455.2,4.55,-5,-0.05,19780.19,197.80
116,多头出场,2023-06-26 08:00,平多,0.691,13661.202,9999.999864,-569.83,-5.70,145.27,1.45,-688.06,-6.88,19210.36,192.10
116,多头进场,2023-06-25 12:00,开多,0.732,13661.202,9999.999864,-569.83,-5.70,145.27,1.45,-688.06,-6.88,19210.36,192.10
117,空头出场,2023-06-29 16:00,平空-EMA,0.718,15151.515,9999.9999,-889.23,-8.89,70.76,0.71,-929.24,-9.29,18321.13,183.21
117,空头进场,2023-06-29 04:00,开空,0.66,15151.515,9999.9999,-889.23,-8.89,70.76,0.71,-929.24,-9.29,18321.13,183.21
118,多头出场,2023-07-07 04:00,平多,0.725,13850.415,9999.99963,31.53,0.32,1421.59,14.21,-365.11,-3.65,18352.67,183.53
118,多头进场,2023-06-30 08:00,开多,0.722,13850.415,9999.99963,31.53,0.32,1421.59,14.21,-365.11,-3.65,18352.67,183.53
119,多头出场,2023-07-19 00:00,平多,0.782,13020.833,9999.999744,172.2,1.72,1427.29,14.27,-83.12,-0.83,18524.87,185.25
119,多头进场,2023-07-08 00:00,开多,0.768,13020.833,9999.999744,172.2,1.72,1427.29,14.27,-83.12,-0.83,18524.87,185.25
120,空头出场,2023-07-31 00:00,平空-止盈,0.619,13157.894,9999.99944,1846.19,18.45,2073.95,20.73,-110.26,-1.10,20371.06,203.71
120,空头进场,2023-07-22 16:00,开空,0.76,13157.894,9999.99944,1846.19,18.45,2073.95,20.73,-110.26,-1.10,20371.06,203.71
121,空头出场,2023-09-19 12:00,平空-EMA,0.4443,23529.411,9999.999675,-464.34,-4.64,44.41,0.44,-477.94,-4.78,19906.71,199.07
121,空头进场,2023-09-19 04:00,开空,0.425,23529.411,9999.999675,-464.34,-4.64,44.41,0.44,-477.94,-4.78,19906.71,199.07
122,多头出场,2023-10-03 16:00,平多,0.4867,21748.586,9999.999843,574.74,5.74,2017.62,20.17,-102.87,-1.03,20481.46,204.81
122,多头进场,2023-09-22 16:00,开多,0.4598,21748.586,9999.999843,574.74,5.74,2017.62,20.17,-102.87,-1.03,20481.46,204.81
123,空头出场,2023-10-11 00:00,平空-止盈,0.4351,21240.441,9999.999623,748.66,7.48,808.51,8.08,-257.76,-2.58,21230.12,212.30
123,空头进场,2023-10-05 20:00,开空,0.4708,21240.441,9999.999623,748.66,7.48,808.51,8.08,-257.76,-2.58,21230.12,212.30
124,多头出场,2023-11-17 20:00,平多,0.5446,21195.421,9999.999628,1532.26,15.31,3878,38.76,-295.38,-2.95,22762.38,227.62
124,多头进场,2023-10-24 04:00,开多,0.4718,21195.421,9999.999628,1532.26,15.31,3878,38.76,-295.38,-2.95,22762.38,227.62
125,空头出场,2023-11-23 00:00,平空-EMA,0.568,19227.071,9999.999627,-931.44,-9.31,14.23,0.14,-949.05,-9.49,21830.94,218.31
125,空头进场,2023-11-22 04:00,开空,0.5201,19227.071,9999.999627,-931.44,-9.31,14.23,0.14,-949.05,-9.49,21830.94,218.31
126,多头出场,2023-11-27 12:00,平多,0.5675,17006.802,9999.999576,-358.47,-3.58,336.84,3.37,-472.69,-4.72,21472.47,214.72
126,多头进场,2023-11-24 08:00,开多,0.588,17006.802,9999.999576,-358.47,-3.58,336.84,3.37,-472.69,-4.72,21472.47,214.72
127,多头出场,2023-12-13 08:00,平多,0.6195,17214.666,9999.999479,654.15,6.54,2454.98,24.54,-115.17,-1.15,22126.63,221.27
127,多头进场,2023-12-02 20:00,开多,0.5809,17214.666,9999.999479,654.15,6.54,2454.98,24.54,-115.17,-1.15,22126.63,221.27
128,多头出场,2023-12-17 12:00,平多,0.624,15292.858,9999.999846,-467.03,-4.67,42.41,0.42,-491.31,-4.91,21659.6,216.60
128,多头进场,2023-12-16 20:00,开多,0.6539,15292.858,9999.999846,-467.03,-4.67,42.41,0.42,-491.31,-4.91,21659.6,216.60
129,多头出场,2023-12-18 12:00,平多,0.6113,14898.688,9999.999386,-901.99,-9.02,70.98,0.71,-919.78,-9.19,20757.61,207.58
129,多头进场,2023-12-18 00:00,开多,0.6712,14898.688,9999.999386,-901.99,-9.02,70.98,0.71,-919.78,-9.19,20757.61,207.58
130,空头出场,2023-12-24 00:00,平空-EMA,0.621,17135.023,9999.999423,-651.17,-6.51,214.33,2.14,-688.69,-6.88,20106.44,201.06
130,空头进场,2023-12-20 00:00,开空,0.5836,17135.023,9999.999423,-651.17,-6.51,214.33,2.14,-688.69,-6.88,20106.44,201.06
131,多头出场,2023-12-27 00:00,平多,0.6179,15420.2,9999.9997,-481.62,-4.81,587.14,5.87,-752.88,-7.53,19624.82,196.25
